WT	Shuf1		
8.5e+008	7.8200e+008		
5.3e+007	5.0867e+007		
0.0	0.0000		
7.7e+008	8.8800e+008		
4.4e+008	4.7300e+008		
0.0	0.0000		
4.5e+007	0.0000		
0.0	1.6649e+007		
0.0	0.0000		
8.7e+007	6.7529e+007		
3.2e+009	1.9000e+009		
1.7e+008	1.1900e+008		
2.6e+008	1.7500e+008		
4.4e+007	5.5462e+007		
7.0e+009	6.6000e+009		
1.2e+010	1.1900e+010		
2.8e+007	3.4319e+007		
2.2e+008	1.8100e+008		
3.5e+007	2.6872e+007		
3.7e+008	3.3500e+008		
7.9e+009	1.0000e+010		
7.7e+008	8.4100e+008		
8.9e+009	6.5900e+009		
2.0e+009	2.3600e+009		
3.2e+008	6.7700e+008		
4.3e+009	3.8000e+009		
1.9e+009	1.7100e+009		
3.6e+010	3.2000e+010		
2.3e+008	2.6000e+008		
5.0e+008	5.5600e+008		
1.6e+009	1.6900e+009		
5.5e+009	5.2200e+009		
4.0e+008	3.6000e+008		
1.4e+009	1.4900e+009		
7.1e+008	6.9800e+008		
3.7e+009	3.5200e+009		
1.5e+008	1.3500e+008		
1.3e+007	1.9131e+007		
1.1e+008	9.9476e+007		
3.1e+007	0.0000		
6.9e+009	4.9500e+009		
1.8e+008	1.9000e+008		
6.0e+008	6.8900e+008		
0.0	0.0000		
1.3e+009	9.5100e+008		
1.0e+008	9.8378e+007		
2.5e+008	2.5100e+008		
0.0	0.0000		
1.4e+008	1.8200e+008		
2.7e+009	2.4000e+009		
1.8e+008	2.0000e+008		
3.0e+009	3.4200e+009		
1.7e+009	1.9700e+009		
6.2e+008	7.3700e+008		
1.6e+009	1.5000e+009		
5.9e+009	5.9600e+009	5.96e+009	
9.0e+008	9.6900e+008		
6.8e+008	5.8000e+008		
4.3e+009	4.2100e+009		
2.1e+008	1.8600e+008		
2.0e+010	2.1200e+010		
2.0e+009	2.0700e+009		
1.6e+009	1.9300e+009		
8.2e+009	7.2700e+009		
1.7e+009	1.8100e+009		
2.5e+010	1.6000e+010		
2.4e+009	2.0700e+009		
1.2e+009	1.2900e+009		
4.6e+007	6.0419e+007		
0.0	3.0798e+007		
1.8e+008	1.6800e+008		
1.7e+008	1.1600e+008		
1.6e+009	1.3600e+009		
0.0	7541900.0000		
0.0	2.0426e+007		
8.3e+008	8.0400e+008		
6.2e+008	7.1700e+008		
8.1e+009	8.2600e+009		
1.1e+008	0.0000		
4.9e+008	4.6900e+008		
1.5e+009	1.8600e+009		
1.4e+009	1.8300e+009		
9.7e+009	1.0300e+010		
3.6e+008	3.4300e+008		
2.3e+009	1.9700e+009		
1.3e+010	1.3200e+010		
1.8e+009	2.0100e+009		
7.1e+009	8.4300e+009		
8.0e+007	7.6485e+007		
4.9e+007	5.2141e+007		
0.0	0.0000		
8.5e+008	7.4900e+008		
0.0	0.0000		
1.8e+008	1.7500e+008		
0.0	0.0000		
2.0e+007	1.4850e+007		
0.0	0.0000		
0.0	0.0000		
5.2e+008	6.2600e+008		
3.0e+009	2.7000e+009		
4.0e+008	3.4100e+008		
1.5e+009	1.4000e+009		
1.2e+008	1.1500e+008		
2.0e+007	0.0000		
0.0	0.0000		
1.4e+008	1.6500e+008		
1.3e+009	1.3800e+009		
4.8e+007	5.4510e+007		
0.0	0.0000		
6.8e+008	6.3000e+008	6.30e+008	
4.1e+009	4.2300e+009		
4.9e+009	5.3800e+009		
2.0e+008	2.0900e+008		
2.6e+007	7.6034e+007		
0.0	0.0000		
6.4e+007	5.7341e+007		
0.0	0.0000		
1.3e+008	1.3400e+008		
1.7e+008	1.5000e+008		
2.8e+007	3.3661e+007		
6.5e+008	8.0300e+008		
2.1e+009	1.7800e+009		
2.0e+008	1.3900e+008		
4.9e+008	2.2800e+008		
1.1e+009	1.1100e+009		
0.0	0.0000		
0.0	0.0000		
2.0e+009	2.1500e+009		
4.9e+007	0.0000		
1.5e+008	1.1400e+008		
2.5e+008	3.0600e+008		
1.3e+008	1.1800e+008		
0.0	9.6172e+007		
4.0e+008	4.7800e+008		
0.0	8.1519e+007		
5.0e+008	5.6600e+008		
1.6e+008	1.2200e+008		
3.9e+007	0.0000		
2.0e+010	1.6800e+010		
2.8e+009	3.5700e+009		
9.7e+007	9.9952e+007		
3.6e+007	0.0000		
8.4e+008	7.4600e+008		
3.9e+009	3.7100e+009		
0.0	0.0000		
4.6e+007	2.3600e+008		
7.6e+008	1.4000e+009		
2.6e+009	3.1500e+009		
1.9e+010	2.4900e+010		
2.4e+010	2.8700e+010		
0.0	0.0000		
8.6e+007	8.7817e+007		
3.1e+008	2.9200e+008		
4.4e+009	5.9500e+009		
2.2e+009	2.3500e+009		
8.7e+008	1.4100e+009		
9.4e+008	9.1900e+008		
1.5e+008	1.4100e+008		
0.0	0.0000		
1.5e+009	1.3100e+009		
6.6e+008	7.6800e+008		
2.8e+010	2.6700e+010		
2.3e+009	1.7300e+009	1.73e+009	
0.0	1.2394e+007		
1.3e+008	1.1400e+008		
4.1e+008	2.8900e+008		
6.5e+007	5.4543e+007		
0.0	0.0000		
1.3e+010	1.0500e+010		
1.2e+010	1.0800e+010		
5.1e+008	6.0600e+008		
9.5e+008	1.0200e+009		
2.4e+008	2.4200e+008		
5.4e+009	5.2900e+009		
0.0	0.0000		
2.7e+010	2.1900e+010		
2.8e+009	2.1300e+009		
2.1e+009	2.1400e+009		
0.0	3.5697e+007		
2.6e+008	2.7400e+008		
1.7e+009	1.5800e+009		
0.0	0.0000		
1.7e+008	1.4600e+008		
0.0	7.0550e+007		
2.5e+008	3.4200e+008		
6.8e+009	7.1600e+009		
7.0e+009	8.5700e+009		
3.9e+009	3.7200e+009		
0.0	0.0000		
4.9e+008	4.3600e+008		
6.4e+007	6.7594e+007		
2.2e+009	2.2200e+009		
4.9e+009	3.0400e+009		
4.0e+009	3.8400e+009		
9.9e+008	1.2600e+009		
4.1e+008	3.9100e+008		
1.7e+008	1.1300e+008		
7.9e+008	7.4900e+008		
0.0	0.0000		
4.4e+008	5.1400e+008		
3.7e+009	3.7000e+009		
2.3e+008	2.8800e+008		
9.4e+007	7.0636e+007		
9.6e+008	1.1900e+009		
0.0	0.0000		
