"Wavelength (nm)"	WT-ssrA	WT
221.5	-11.416800	-10.327500
221.4	-11.414600	-10.366900
221.3	-11.436200	-10.381000
221.2	-11.461500	-10.428000
221.1	-11.535900	-10.453700
221.0	-11.637300	-10.531800
220.9	-11.624100	-10.611300
220.8	-11.649800	-10.692500
220.7	-11.708500	-10.779300
220.6	-11.741000	-10.786400
220.5	-11.717100	-10.775900
220.4	-11.714100	-10.736000
220.3	-11.657600	-10.706900
220.2	-11.460800	-10.648000
220.1	-11.377200	-10.567600
220.0	-11.355000	-10.482600
219.9	-11.299100	-10.439800
219.8	-11.291900	-10.433200
219.7	-11.309700	-10.406700
219.6	-11.303500	-10.420800
219.5	-11.325500	-10.464100
219.4	-11.429500	-10.508300
219.3	-11.534800	-10.524900
219.2	-11.574300	-10.598600
219.1	-11.594500	-10.664000
219.0	-11.617600	-10.714600
218.9	-11.629300	-10.789200
218.8	-11.607000	-10.797500
218.7	-11.589800	-10.812300
218.6	-11.651200	-10.838300
218.5	-11.648600	-10.929600
218.4	-11.643200	-10.972900
218.3	-11.768800	-10.930100
218.2	-11.890800	-10.887700
218.1	-11.987400	-10.807000
218.0	-12.034700	-10.773200
217.9	-12.106900	-10.761700
217.8	-12.107500	-10.738700
217.7	-12.127000	-10.683300
217.6	-12.167800	-10.633300
217.5	-12.152400	-10.647400
217.4	-12.075300	-10.702900
217.3	-11.995900	-10.757500
217.2	-12.026900	-10.813900
217.1	-12.011500	-10.847400
217.0	-12.004500	-10.842200
216.9	-12.012500	-10.836600
216.8	-11.949200	-10.851700
216.7	-11.857300	-10.846700
216.6	-11.804900	-10.794200
216.5	-11.807400	-10.763000
216.4	-11.719500	-10.724000
216.3	-11.612000	-10.685600
216.2	-11.531200	-10.663400
216.1	-11.494700	-10.701000
216.0	-11.422400	-10.687000
215.9	-11.388900	-10.695200
215.8	-11.370400	-10.688200
215.7	-11.418100	-10.669000
215.6	-11.370300	-10.700300
215.5	-11.446800	-10.741500
215.4	-11.503400	-10.750200
215.3	-11.481200	-10.721500
215.2	-11.514100	-10.713200
215.1	-11.571000	-10.758400
215.0	-11.582400	-10.763000
214.9	-11.485800	-10.786600
214.8	-11.444000	-10.787700
214.7	-11.420000	-10.750400
214.6	-11.376100	-10.705700
214.5	-11.293300	-10.618500
214.4	-11.176500	-10.527800
214.3	-11.111900	-10.420000
214.2	-11.095900	-10.337300
214.1	-11.168800	-10.277600
214.0	-11.284500	-10.255600
213.9	-11.309700	-10.207300
213.8	-11.221600	-10.172700
213.7	-11.181400	-10.215400
213.6	-11.243200	-10.250400
213.5	-11.262400	-10.190200
213.4	-11.229200	-10.147200
213.3	-11.061500	-10.158800
213.2	-10.905300	-10.144600
213.1	-10.767300	-10.097000
213.0	-10.734100	-10.036500
212.9	-10.744500	-10.052400
212.8	-10.761500	-10.018200
212.7	-10.730000	-9.993810
212.6	-10.659300	-10.043500
212.5	-10.702900	-10.030200
212.4	-10.786000	-9.963350
212.3	-10.821200	-9.973780
212.2	-10.887700	-9.958750
212.1	-10.803600	-9.879910
212.0	-10.682900	-9.817120
211.9	-10.587800	-9.878760
211.8	-10.542100	-9.910740
211.7	-10.574800	-9.876350
211.6	-10.476300	-9.892750
211.5	-10.360800	-9.862430
211.4	-10.318000	-9.819220
211.3	-10.482200	-9.835680
211.2	-10.657100	-9.773540
211.1	-10.726900	-9.678090
211.0	-10.714400	-9.549670
210.9	-10.629200	-9.472140
210.8	-10.521300	-9.430010
210.7	-10.505700	-9.325340
210.6	-10.444800	-9.265770
210.5	-10.374600	-9.220380
210.4	-10.140600	-9.193580
210.3	-9.985000	-9.192040
210.2	-9.867440	-9.149870
210.1	-9.712040	-9.104030
210.0	-9.649750	-9.022050
209.9	-9.603270	-8.990980
209.8	-9.523160	-8.957290
209.7	-9.358230	-8.836660
209.6	-9.139050	-8.713510
209.5	-9.016380	-8.650300
209.4	-9.043650	-8.521440
209.3	-9.033670	-8.365480
209.2	-8.993070	-8.294420
209.1	-9.017370	-8.226940
209.0	-9.068000	-8.121880
208.9	-8.922960	-8.097840
208.8	-8.905560	-8.087650
208.7	-8.906110	-7.966630
208.6	-8.634760	-7.865860
208.5	-8.338850	-7.791540
208.4	-8.022680	-7.673390
208.3	-7.709690	-7.569930
208.2	-7.391740	-7.462710
208.1	-7.167260	-7.356030
208.0	-6.989900	-7.189200
207.9	-6.742680	-7.071490
207.8	-6.645200	-6.962130
207.7	-6.626670	-6.779900
207.6	-6.637400	-6.564870
207.5	-6.474800	-6.362930
207.4	-6.372220	-6.161590
207.3	-6.185090	-5.979180
207.2	-5.996410	-5.825270
207.1	-5.778610	-5.672060
207.0	-5.489370	-5.421050
206.9	-5.165520	-5.235040
206.8	-4.891100	-5.140260
206.7	-4.691620	-4.967980
206.6	-4.522920	-4.759770
206.5	-4.469380	-4.549690
206.4	-4.593730	-4.334620
206.3	-4.420650	-3.987530
206.2	-4.271330	-3.732330
206.1	-4.192900	-3.480990
206.0	-4.060220	-3.150220
205.9	-3.924770	-2.849640
205.8	-3.689310	-2.570710
205.7	-3.377630	-2.195910
205.6	-2.901520	-1.822520
205.5	-2.547410	-1.583450
205.4	-2.267480	-1.395250
205.3	-1.935730	-1.162760
205.2	-1.602370	-0.919550
205.1	-1.221570	-0.627100
205.0	-0.657210	-0.346960
204.9	-0.105280	-0.073140
204.8	0.434604	0.099962
204.7	0.965340	0.368118
204.6	1.450438	0.618814
204.5	1.819362	1.011127
204.4	2.229530	1.286767
204.3	2.584764	1.545132
204.2	2.695453	1.741818
204.1	2.870347	1.979224
204.0	3.143448	2.296394
203.9	3.516749	2.668556
203.8	3.849328	2.968851
203.7	4.282220	3.267436
203.6	4.536224	3.540725
203.5	4.766744	3.810302
203.4	5.179326	4.101898
203.3	5.410466	4.370020
203.2	5.497827	4.638842
203.1	5.471540	4.746373
203.0	5.445684	4.888420
202.9	5.507621	4.942376
202.8	5.698734	5.080708
202.7	5.875574	5.175469
202.6	6.051790	5.287318
202.5	6.133634	5.459130
202.4	6.318499	5.570745
202.3	6.460657	5.755738
202.2	6.753039	5.999822
202.1	6.959854	6.393021
202.0	7.036731	6.665052
201.9	7.224050	6.806979
201.8	7.357485	7.163241
201.7	7.346818	7.441768
201.6	7.499069	7.649072
201.5	7.718480	7.842404
201.4	7.829870	8.114561
201.3	7.796285	8.351836
201.2	7.890637	8.398427
201.1	8.034571	8.594738
201.0	8.383514	8.703188
200.9	8.731064	8.770059
200.8	9.098912	8.907734
200.7	9.435308	9.182153
200.6	9.721047	9.412203
200.5	9.751700	9.562725
200.4	9.600175	9.789240
200.3	9.588949	9.998709
