"Wavelength (nm)"	WT	Shuf1	FEBS
213.1	-9.919030	-8.449010	-9.519640
213.0	-9.962040	-8.536830	-9.588910
212.9	-9.864840	-8.546370	-9.658860
212.8	-9.827060	-8.602090	-9.654690
212.7	-9.909690	-8.531650	-9.559800
212.6	-9.985540	-8.661400	-9.498710
212.5	-9.948490	-8.843800	-9.474230
212.4	-9.923580	-9.103070	-9.398830
212.3	-9.909410	-9.209110	-9.364370
212.2	-9.870910	-9.272200	-9.390440
212.1	-9.903310	-9.320120	-9.416860
212.0	-9.942870	-9.265890	-9.401840
211.9	-9.926770	-9.182110	-9.390130
211.8	-9.970140	-9.099210	-9.448870
211.7	-10.119300	-9.012760	-9.496030
211.6	-9.992720	-8.800680	-9.470620
211.5	-9.944230	-8.685190	-9.568230
211.4	-9.838700	-8.551420	-9.566940
211.3	-9.694830	-8.460010	-9.509440
211.2	-9.711900	-8.579280	-9.530900
211.1	-9.617350	-8.720990	-9.490480
211.0	-9.375240	-8.855860	-9.463810
210.9	-9.092000	-8.879590	-9.345140
210.8	-9.077820	-9.023310	-9.514680
210.7	-9.130700	-9.166660	-9.574000
210.6	-9.145200	-9.152310	-9.488500
210.5	-9.150740	-9.073070	-9.473070
210.4	-9.070180	-8.946720	-9.499480
210.3	-9.105210	-8.809680	-9.492720
210.2	-9.146030	-8.920060	-9.490310
210.1	-9.181230	-8.897350	-9.469040
210.0	-9.163420	-8.876820	-9.405820
209.9	-9.160040	-8.727570	-9.318100
209.8	-9.122000	-8.529190	-9.309510
209.7	-9.053970	-8.430430	-9.256850
209.6	-8.953890	-8.550100	-9.036630
209.5	-8.867380	-8.611660	-8.920060
209.4	-8.814980	-8.419440	-8.908540
209.3	-8.785820	-8.267430	-8.869920
209.2	-8.674680	-8.191100	-8.650000
209.1	-8.588740	-8.092070	-8.488210
209.0	-8.710120	-8.158340	-8.402930
208.9	-8.665590	-8.211460	-8.365590
208.8	-8.734820	-8.232320	-8.406730
208.7	-8.629510	-8.058280	-8.438440
208.6	-8.554390	-7.960300	-8.334560
208.5	-8.446890	-7.951280	-8.192840
208.4	-8.398030	-7.861920	-8.228760
208.3	-8.440030	-7.863720	-8.356990
208.2	-8.038650	-7.723060	-8.287780
208.1	-7.890670	-7.579550	-8.155240
208.0	-7.771800	-7.349320	-8.067940
207.9	-7.614870	-7.121680	-7.805860
207.8	-7.468130	-6.945380	-7.521420
207.7	-7.225100	-6.787780	-7.438880
207.6	-6.950770	-6.507910	-7.267870
207.5	-6.621350	-6.253890	-6.919930
207.4	-6.478310	-6.124240	-6.621630
207.3	-6.364660	-6.064050	-6.489320
207.2	-6.078260	-5.896270	-6.162240
207.1	-6.036800	-5.922300	-6.026670
207.0	-5.953590	-5.919340	-6.046700
206.9	-5.933160	-5.824080	-6.047170
206.8	-5.912550	-5.734580	-5.892510
206.7	-5.842160	-5.460630	-5.741290
206.6	-5.721080	-5.155290	-5.637730
206.5	-5.643790	-4.871220	-5.457030
206.4	-5.571120	-4.684940	-5.322610
206.3	-5.161710	-4.370330	-5.191760
206.2	-4.894400	-4.087540	-4.943750
206.1	-4.582770	-3.846470	-4.485660
206.0	-4.391770	-3.660450	-4.109420
205.9	-4.232770	-3.675200	-3.856520
205.8	-4.040370	-3.850060	-3.643030
205.7	-3.652230	-3.780810	-3.409820
205.6	-3.368300	-3.659240	-3.246040
205.5	-3.265110	-3.665570	-3.109210
205.4	-3.042610	-3.662750	-2.936650
205.3	-2.699480	-3.505100	-2.959950
205.2	-2.407350	-3.365710	-2.908130
205.1	-2.099870	-3.181920	-2.909940
205.0	-1.637100	-2.917330	-2.663690
204.9	-1.183130	-2.568580	-2.292140
204.8	-0.621200	-2.285620	-1.826470
204.7	-0.302990	-1.849520	-1.615600
204.6	0.050651	-1.303210	-1.327210
204.5	0.380688	-0.938170	-0.852660
204.4	0.867833	-0.661020	-0.441920
204.3	1.270473	-0.423500	-0.140430
204.2	1.594811	-0.013820	0.176729
